,Open,High,Low,Close,Adj Close,Volume,Date
0,12.98,13.2,12.96,13.03,10.146145,384300.0,2017-07-12T00:00:00
1,13.01,13.01,12.85,12.94,10.076064,311100.0,2017-07-13T00:00:00
2,12.97,13.12,12.95,13.09,10.192863,307900.0,2017-07-14T00:00:00
3,13.08,13.2,13.01,13.17,10.255159,288000.0,2017-07-17T00:00:00
4,13.19,13.32,13.09,13.21,10.286305,388000.0,2017-07-18T00:00:00
5,13.24,13.3,13.15,13.21,10.286305,299000.0,2017-07-19T00:00:00
6,13.25,13.43,13.24,13.39,10.426467,431200.0,2017-07-20T00:00:00
7,13.44,13.44,13.15,13.17,10.255159,202100.0,2017-07-21T00:00:00
8,13.17,13.35,13.1,13.16,10.247374,219600.0,2017-07-24T00:00:00
9,13.2,13.29,13.15,13.18,10.262945,274900.0,2017-07-25T00:00:00
10,13.18,13.35,13.15,13.3,10.356387,288900.0,2017-07-26T00:00:00
11,13.29,13.43,13.16,13.39,10.426467,247800.0,2017-07-27T00:00:00
12,13.35,13.42,13.23,13.37,10.410894,291400.0,2017-07-28T00:00:00
13,13.39,13.39,13.22,13.26,10.325241,468800.0,2017-07-31T00:00:00
14,13.2,13.51,13.2,13.42,10.449828,269100.0,2017-08-01T00:00:00
15,13.39,13.4,13.14,13.2,10.27852,228300.0,2017-08-02T00:00:00
16,13.21,13.49,13.11,13.46,10.480975,408300.0,2017-08-03T00:00:00
17,13.43,13.55,13.43,13.51,10.519909,284500.0,2017-08-04T00:00:00
18,13.5,13.51,13.38,13.42,10.449828,138500.0,2017-08-07T00:00:00
19,13.39,13.45,13.28,13.34,10.387534,195600.0,2017-08-08T00:00:00
20,13.33,13.35,13.18,13.32,10.371961,210100.0,2017-08-09T00:00:00
21,13.28,13.37,13.16,13.18,10.262945,224000.0,2017-08-10T00:00:00
22,13.0,13.11,12.95,13.0,10.122785,275000.0,2017-08-11T00:00:00
23,13.03,13.48,12.97,13.43,10.457613,418100.0,2017-08-14T00:00:00
24,13.38,13.38,13.16,13.17,10.255159,225200.0,2017-08-15T00:00:00
25,13.16,13.32,13.13,13.17,10.255159,325500.0,2017-08-16T00:00:00
26,13.15,13.39,13.15,13.19,10.270732,299700.0,2017-08-17T00:00:00
27,13.1,13.14,12.97,13.04,10.153931,1097700.0,2017-08-18T00:00:00
28,13.04,13.24,13.0,13.24,10.309664,158800.0,2017-08-21T00:00:00
29,13.25,13.29,13.16,13.26,10.325241,176600.0,2017-08-22T00:00:00
30,13.24,13.42,13.23,13.39,10.426467,151400.0,2017-08-23T00:00:00
31,13.4,13.5,13.31,13.32,10.371961,300200.0,2017-08-24T00:00:00
32,13.39,13.47,13.22,13.4,10.434254,335100.0,2017-08-25T00:00:00
33,13.4,13.47,13.2,13.22,10.294093,275300.0,2017-08-28T00:00:00
34,13.25,13.33,13.19,13.25,10.317453,213600.0,2017-08-29T00:00:00
35,13.21,13.38,13.16,13.36,10.403106,316200.0,2017-08-30T00:00:00
36,13.38,13.57,13.37,13.37,10.410894,339400.0,2017-08-31T00:00:00
37,13.41,13.53,13.32,13.51,10.519909,207600.0,2017-09-01T00:00:00
38,13.49,13.58,13.21,13.27,10.333026,266200.0,2017-09-05T00:00:00
